homelat,homelon,homecontinent,n
-54.8,-68.3,South America,4
-53.8,-67.7,South America,1
-52.4,-71,South America,2
-51.7,-72.5,South America,2
-51.6,-69.2,South America,4
-46.5,-71.6,South America,2
-46.4,-67.5,South America,1
